recorder_folder,DATE,TIME,LON,LAT,BAT,TEMP,HUMI,FILE,GAIN,SAMPLE RATE,CHANNEL,NOTE,wav_file,birdnet_start_s,birdnet_end_s,peak_time_s,gcc_start_s,gcc_end_s,tdoa_ms,lag_samples,bearing_1_deg,bearing_2_deg,detected_by,source_file,site_id,lon_deg,lat_deg,recording_datetime,recording_start,recording_block_key,event_time,easting_m,northing_m,canonical_easting_m,canonical_northing_m,corrected_event_time,event_id,abs_tdoa_ms
Recorder 6 - 1004 to 1704,04-14-2026,19:12:03,1.92444W,50.93976N,100%,11C,94%,6_20260414_191203.wav,AGC,48kHz,stereo,Part2,6_20260414_191203.wav,432.0,435.0,432.87604166666665,432.62604166666665,433.12604166666665,-0.04296875,-2.0625,354.3612935470051,185.63870645299488,"left,right",pheasant_results_sd3.csv,6,-1.92444,50.93976,2026-04-14 19:12:03+01:00,2026-04-14 19:12:03+01:00,2026-04-14_19:12:03,2026-04-14 19:19:15.876042+01:00,405405.43492317986,115593.50557667058,405405.43492317986,115592.39495217375,2026-04-14 19:19:15.876042+01:00,6,0.04296875
Recorder 2 - 1004 to 1704,04-14-2026,19:12:03,1.91835W,50.94075N,100%,11C,95%,2_20260414_191203.wav,AGC,48kHz,stereo,Part2,2_20260414_191203.wav,435.0,438.0,435.68595833333336,435.43595833333336,435.93595833333336,0.4361979166666666,20.9375,85.89876061475425,94.10123938524576,"left,right",pheasant_results_sd1.csv,2,-1.91835,50.94075,2026-04-14 19:12:03+01:00,2026-04-14 19:12:03+01:00,2026-04-14_19:12:03,2026-04-14 19:19:18.685958+01:00,405833.2119004521,115704.0536668098,405833.91696353175,115702.94238304385,2026-04-14 19:19:18.685958+01:00,6,0.4361979166666666
Recorder 5 - 1004 to 1704,04-14-2026,19:12:03,1.92340W,50.94178N,100%,11C,95%,5_20260414_191203.wav,AGC,48kHz,stereo,Part2,5_20260414_191203.wav,1185.0,1188.0,1185.7488125,1185.4988125,1185.9988125,-0.2708333333333333,-13.0,321.73455982235123,218.2654401776488,"left,right",pheasant_results_sd1.csv,5,-1.9234,50.94178,2026-04-14 19:12:03+01:00,2026-04-14 19:12:03+01:00,2026-04-14_19:12:03,2026-04-14 19:31:48.748812+01:00,405478.27549968066,115818.21652945367,405478.2778005708,115815.99241150077,2026-04-14 19:31:48.748812+01:00,6,0.2708333333333333
Recorder 3 - 1704 to 2804,04-20-2026,18:42:02,1.92064W,50.94221N,100%,15C,50%,3_20260420_184202.wav,AGC,48kHz,stereo,Part1,3_20260420_184202.wav,594.0,597.0,595.2376041666666,594.9876041666666,595.4876041666666,0.3958333333333333,19.0,64.84199555654006,115.15800444345994,"left,right",pheasant_results_sd1.csv,3,-1.92064,50.94221,2026-04-20 18:42:02+01:00,2026-04-20 18:42:02+01:00,2026-04-20_18:42:02,2026-04-20 18:51:57.237604+01:00,405672.1402396055,115866.23930303214,405670.7350641857,115866.23779697344,2026-04-20 18:51:57.237604+01:00,7,0.3958333333333333
Recorder 5 - 1704 to 2804,04-20-2026,18:42:02,1.92340W,50.94176N,100%,15C,50%,5_20260420_184202.wav,AGC,48kHz,stereo,Part1,5_20260420_184202.wav,834.0,837.0,836.5083958333333,836.2583958333333,836.7583958333333,0.4361979166666666,20.9375,85.89876061475425,94.10123938524576,"left,right",pheasant_results_sd1.csv,5,-1.9234,50.94176,2026-04-20 18:42:02+01:00,2026-04-20 18:42:02+01:00,2026-04-20_18:42:02,2026-04-20 18:55:58.508396+01:00,405478.2778005708,115815.99241150077,405478.2778005708,115815.99241150077,2026-04-20 18:55:58.508396+01:00,7,0.4361979166666666
Recorder 2 - 1704 to 2804,04-20-2026,18:42:02,1.91834W,50.94074N,100%,17C,47%,2_20260420_184202.wav,AGC,48kHz,stereo,Part1,2_20260420_184202.wav,882.0,885.0,882.524375,882.274375,882.774375,0.3958333333333333,19.0,64.84199555654006,115.15800444345994,"left,right",pheasant_results_sd1.csv,2,-1.91834,50.94074,2026-04-20 18:42:02+01:00,2026-04-20 18:42:02+01:00,2026-04-20_18:42:02,2026-04-20 18:56:44.524375+01:00,405833.9157368448,115702.94238304385,405833.91696353175,115702.94238304385,2026-04-20 18:56:44.524375+01:00,7,0.3958333333333333
Recorder 1 - 1704 to 2804,04-22-2026,19:12:03,1.91779W,50.94273N,100%,16C,37%,1_20260422_191203.wav,AGC,48kHz,stereo,Part2,1_20260422_191203.wav,72.0,75.0,73.59535416666667,73.34535416666667,73.84535416666667,-0.2916666666666667,-14.000000000000002,318.1683286674247,221.83167133257527,"left,right",pheasant_results_sd1.csv,1,-1.91779,50.94273,2026-04-22 19:12:03+01:00,2026-04-22 19:12:03+01:00,2026-04-22_19:12:03,2026-04-22 19:13:16.595354+01:00,405872.313515143,115924.28488280502,405877.2241577801,115930.96270176416,2026-04-22 19:13:16.595354+01:00,8,0.2916666666666667
Recorder 3 - 1704 to 2804,04-22-2026,19:12:03,1.92064W,50.94221N,100%,17C,39%,3_20260422_191203.wav,AGC,48kHz,stereo,Part2,3_20260422_191203.wav,507.0,510.0,507.7561666666667,507.5061666666667,508.0061666666667,-0.0416666666666666,-2.0,354.5326921717127,185.4673078282873,"left,right",pheasant_results_sd1.csv,3,-1.92064,50.94221,2026-04-22 19:12:03+01:00,2026-04-22 19:12:03+01:00,2026-04-22_19:12:03,2026-04-22 19:20:30.756167+01:00,405672.1402396055,115866.23930303214,405670.7350641857,115866.23779697344,2026-04-22 19:20:30.756167+01:00,8,0.0416666666666666
Recorder 6 1704 to 2804,04-22-2026,19:12:03,1.92442W,50.93975N,100%,15C,43%,6_20260422_191203.wav,AGC,48kHz,stereo,Part2,6_20260422_191203.wav,1290.0,1293.0,1291.8808958333334,1291.6308958333334,1292.1308958333334,-0.1458333333333333,-7.000000000000001,340.5203386801996,199.47966131980044,"left,right",pheasant_results_sd3.csv,6,-1.92442,50.93975,2026-04-22 19:12:03+01:00,2026-04-22 19:12:03+01:00,2026-04-22_19:12:03,2026-04-22 19:33:34.880896+01:00,405406.8413075127,115592.39495217375,405405.43492317986,115592.39495217375,2026-04-22 19:33:34.880896+01:00,8,0.1458333333333333
Recorder 5 - 1704 to 2804,04-25-2026,19:12:03,1.92340W,50.94176N,100%,21C,32%,5_20260425_191203.wav,AGC,48kHz,stereo,Part2,5_20260425_191203.wav,261.0,264.0,263.39729166666666,263.14729166666666,263.64729166666666,0.4361979166666666,20.9375,85.89876061475425,94.10123938524576,"left,right",pheasant_results_sd1.csv,5,-1.9234,50.94176,2026-04-25 19:12:03+01:00,2026-04-25 19:12:03+01:00,2026-04-25_19:12:03,2026-04-25 19:16:26.397292+01:00,405478.2778005708,115815.99241150077,405478.2778005708,115815.99241150077,2026-04-25 19:16:26.397292+01:00,9,0.4361979166666666
Recorder 6 1704 to 2804,04-25-2026,19:12:03,1.92442W,50.93975N,100%,16C,41%,6_20260425_191203.wav,AGC,48kHz,stereo,Part2,6_20260425_191203.wav,369.0,372.0,369.5049375,369.2549375,369.7549375,0.3958333333333333,19.0,64.84199555654006,115.15800444345994,"left,right",pheasant_results_sd3.csv,6,-1.92442,50.93975,2026-04-25 19:12:03+01:00,2026-04-25 19:12:03+01:00,2026-04-25_19:12:03,2026-04-25 19:18:12.504937+01:00,405406.8413075127,115592.39495217375,405405.43492317986,115592.39495217375,2026-04-25 19:18:12.504937+01:00,9,0.3958333333333333
Recorder 3 - 1704 to 2804,04-25-2026,19:12:03,1.92064W,50.94221N,100%,22C,32%,3_20260425_191203.wav,AGC,48kHz,stereo,Part2,3_20260425_191203.wav,1152.0,1155.0,1153.8778958333332,1153.6278958333332,1154.1278958333332,0.3736979166666666,17.9375,58.707030274748746,121.29296972525124,"left,right",pheasant_results_sd1.csv,3,-1.92064,50.94221,2026-04-25 19:12:03+01:00,2026-04-25 19:12:03+01:00,2026-04-25_19:12:03,2026-04-25 19:31:16.877896+01:00,405672.1402396055,115866.23930303214,405670.7350641857,115866.23779697344,2026-04-25 19:31:16.877896+01:00,9,0.3736979166666666
