event_id,n_sites,event_time_min,event_time_max,triangulation_success,quality_pass,solution_easting_m,solution_northing_m,solution_lon_deg,solution_lat_deg,branch_bits,objective,rms_residual_deg,geometry_score,branch_margin,chosen_bearings_deg
24,2,,,False,False,,,,,,,,,,
25,2,2026-04-09 07:23:47.425875+01:00,2026-04-09 07:28:16.994771+01:00,True,False,405478.3058134229,115816.03332992857,-1.9233995893834566,50.941760362630866,00,2.7391527189123854,25.41897409733746,0.8390401711980082,0.0007787808248540529,34.452|337.413
26,2,,,False,False,,,,,,,,,,
27,2,,,False,False,,,,,,,,,,
28,2,,,False,False,,,,,,,,,,
29,4,2026-04-10 07:09:56.558354+01:00,2026-04-10 07:31:57.727854+01:00,True,False,405833.9778003529,115702.85433556922,-1.9183391067443916,50.94073920257255,1110,8.280938911039627,34.94512066633237,0.09145293319978674,0.0008629732132092727,145.341|157.966|163.213|28.644
30,4,2026-04-10 07:09:56.558354+01:00,2026-04-10 07:31:57.727854+01:00,True,False,405834.007570395,115702.81120560542,-1.9183386837154695,50.940738814438824,1110,13.41968882813499,60.491405464353775,0.09145293319978674,0.0016959931554012542,145.341|157.966|163.213|331.550
31,2,2026-04-12 07:09:46.846917+01:00,2026-04-12 07:27:11.948625+01:00,True,False,405405.42655007384,115592.4289098574,-1.9244401234978044,50.9397503132799,10,0.9605677110139723,22.081665468186404,0.13865187827313116,2.6869569054803444,174.190|346.220
32,2,,,False,False,,,,,,,,,,
33,3,2026-04-12 19:19:22.097188+01:00,2026-04-12 19:41:13.055396+01:00,True,False,405877.3112430759,115930.93305036363,-1.9177187496493424,50.942789727435574,100,0.395099347138827,6.047179584257259,0.7630302331291187,1.9942837500008803e-05,108.769|351.956|59.037
34,3,2026-04-12 19:19:22.097188+01:00,2026-04-12 19:34:17.633938+01:00,True,False,406177.5694636731,115830.86741459808,-1.9134467628508172,50.941886826267066,110,7.679926553468832,42.86672880776205,0.3996849817451521,inf,108.769|188.044|31.603
35,2,,,False,False,,,,,,,,,,
36,2,2026-04-13 06:51:26.694917+01:00,2026-04-13 07:05:49.383292+01:00,True,True,405478.17993447685,115815.94650013934,-1.9234013822901395,50.9417595830007,10,0.00568368574215023,0.8599790275897703,0.7115643026605072,8.587414051330986e-05,244.842|19.480
37,2,2026-04-13 06:51:26.694917+01:00,2026-04-13 07:04:46.000729+01:00,True,True,405471.54236843495,115819.15583737957,-1.9234958072099977,50.94178850409373,00,3.898239417002478e-17,7.376422790705517e-08,0.9879462184469255,4.0205749798146336e-14,295.158|16.253
38,2,2026-04-13 18:48:02.992833+01:00,2026-04-13 18:58:59.966167+01:00,True,False,405623.2339743665,115639.27772951618,-1.9213395076325948,50.94016955325642,10,5.7974014035022075,52.50268178264604,0.30985023737838124,1.6211629958850065,145.341|343.391
39,2,2026-04-13 18:48:02.992833+01:00,2026-04-13 18:57:15.964104+01:00,True,False,405405.4242842919,115592.43051302392,-1.9244401557218844,50.939750327716894,10,1.395903566886971,26.477118358653673,0.3730626877368196,0.6356035168997523,185.296|343.391
40,2,,,False,False,,,,,,,,,,
41,2,2026-04-13 19:24:54.856417+01:00,2026-04-13 19:25:13.048354+01:00,True,False,405478.2004334927,115816.03877486428,-1.9234010891701085,50.94176041257378,10,2.788096072276733,30.51760756707061,0.7770657869117521,1.2893893205646552,171.956|300.963
42,2,2026-04-13 19:20:06.102854+01:00,2026-04-13 19:24:54.856417+01:00,True,True,405478.18103366636,115816.05038434562,-1.9234013651158461,50.94176051715042,10,1.2936731863383046,17.35396007551955,0.9013265625988828,0.8400489986936905,185.296|300.963
43,2,2026-04-14 07:02:06.989271+01:00,2026-04-14 07:07:00.273646+01:00,True,True,406099.2926293051,115820.94615976705,-1.9145610385557073,50.94179842902007,10,6.453058909550646e-26,2.5402871706857566e-12,0.41094670986894427,inf,96.033|71.769
44,2,2026-04-14 07:02:06.989271+01:00,2026-04-14 07:04:33.591917+01:00,True,False,405670.77377885545,115866.24191838608,-1.920659437597693,50.94221003162826,00,7.757911157598911,58.39219029934441,0.8438581830063515,0.0008548844571292236,83.967|321.517
45,3,2026-04-14 07:14:38.059500+01:00,2026-04-14 07:29:49.616250+01:00,True,False,405833.9590102748,115702.92250367142,-1.9183393731064353,50.940739815748294,110,11.545090563212181,66.48167799016349,0.11512021498802422,0.00012257167566254168,115.158|151.744|325.133
46,3,,,False,False,,,,,,,,,,
47,2,2026-04-17 07:29:28.794833+01:00,2026-04-17 07:34:13.464688+01:00,True,False,405877.30163924425,115930.90710718876,-1.9177188867535941,50.94278949424233,10,3.5409683614031953,34.75525030341062,0.6506973475243036,inf,125.626|346.220
48,2,2026-04-17 07:14:31.622729+01:00,2026-04-17 07:34:13.464688+01:00,True,False,405877.3001688128,115930.90815829247,-1.9177189076659957,50.94278950370888,10,3.497260614112875,34.453150278916326,0.6530212934697941,inf,125.626|346.396
49,2,2026-04-17 18:44:45.698417+01:00,2026-04-17 18:45:07.635396+01:00,True,False,405877.2372788728,115930.9185520446,-1.9177198026302995,50.94278959780137,10,1.905916390466751,26.96139892769941,0.505863148155014,inf,163.391|13.780
50,2,2026-04-17 18:48:36.088062+01:00,2026-04-17 18:49:10.407438+01:00,True,False,405405.437765345,115592.40669820741,-1.9244399642009091,50.93975011344268,10,2.8260241975999136,42.74953849027549,0.4161161094368695,inf,169.015|13.604
51,2,,,False,False,,,,,,,,,,
52,2,,,False,False,,,,,,,,,,
53,2,,,False,False,,,,,,,,,,
54,2,2026-04-19 06:44:05.739104+01:00,2026-04-19 06:56:03.289583+01:00,True,False,405478.3153152154,115816.02461642754,-1.9233994542732613,50.9417602841879,00,3.697473003369231,31.15810531414057,0.9775906965938902,0.0005622878918987162,49.398|331.550
55,2,2026-04-19 06:44:05.739104+01:00,2026-04-19 07:06:38.521937+01:00,True,True,405478.3277816894,115816.03531099403,-1.9233992766811419,50.94176038024088,00,1.3623117938711005,16.051611630836025,0.891023011807682,0.0005458100895534557,49.398|346.396
56,2,,,False,False,,,,,,,,,,
57,2,2026-04-19 07:15:30.929292+01:00,2026-04-19 07:18:38.941937+01:00,True,False,405833.9120276616,115702.9172628085,-1.9183400418749779,50.94073976908681,10,1.5165257807678816,35.23442356784474,0.2803935373699282,0.7233596938237388,191.159|354.875
58,2,2026-04-20 06:39:33.995333+01:00,2026-04-20 06:50:56.711646+01:00,True,True,405478.2900798923,115815.99150529582,-1.9233998139337802,50.941759986676786,10,1.362056915721725,16.04915813914683,0.9526314705010146,2.620558479282664e-05,94.101|346.396
59,3,2026-04-20 18:51:57.237604+01:00,2026-04-20 18:56:44.524375+01:00,True,True,405935.9956081537,115751.61840752377,-1.916886345593428,50.94117668369121,011,0.09278504407161653,2.487100642268912,0.3592927063400656,0.5925105529988388,64.842|115.158|94.101
60,3,2026-04-20 18:51:57.237604+01:00,2026-04-20 19:05:00.971083+01:00,True,True,405868.98953835125,115776.71177413383,-1.9178396308863013,50.941403003871265,011,0.017184002676909067,1.1224170201617891,0.3592927063400656,0.39875726388310334,25.577|115.158|94.101
61,3,2026-04-20 18:44:26.983042+01:00,2026-04-20 18:56:44.524375+01:00,True,False,405906.3870613326,115736.04400154485,-1.9173080047104634,50.941036931846305,011,8.479771995410434,54.034920297928444,0.6354549769165616,1.4995731926406766,64.842|115.158|205.388
62,3,2026-04-20 18:51:57.237604+01:00,2026-04-20 19:10:50.740104+01:00,True,False,405859.4876521772,115754.61398249713,-1.9179752181529997,50.94120438823828,011,11.918585440783955,74.35345954006,0.27990331047788947,2.681566869063886,25.577|115.158|221.832
63,3,2026-04-20 18:51:57.237604+01:00,2026-04-20 18:56:44.524375+01:00,True,True,405919.6164097693,115742.80113684118,-1.9171196073861902,50.941097561120955,011,1.5521075656339698,14.221796887030164,0.769578001713429,0.4814952234796661,64.842|115.158|174.533
64,2,,,False,False,,,,,,,,,,
65,3,2026-04-22 19:13:16.595354+01:00,2026-04-22 19:33:34.880896+01:00,True,True,405284.2265257307,115234.50195814593,-1.9261701610522601,50.936532817013706,111,0.26187373495942445,5.7016193883962005,0.24213109456416843,3.0747663044772153,221.832|185.467|199.480
66,2,2026-04-23 06:39:16.766354+01:00,2026-04-23 06:42:09.638104+01:00,True,False,405623.1913121202,115639.36249441531,-1.9213401135395751,50.9401703158972,10,3.0064743944908847,41.97277289228733,0.45995827072455886,1.976104649152925,193.604|346.220
67,2,,,False,False,,,,,,,,,,
68,2,2026-04-23 19:12:13.783708+01:00,2026-04-23 19:39:45.457479+01:00,True,True,405478.30357748416,115815.90684775048,-1.923399623069814,50.94175922528353,10,0.00466150012976512,1.0208101331021362,0.5504142798606245,inf,163.213|16.609
69,2,2026-04-23 19:14:19.058021+01:00,2026-04-23 19:39:45.457479+01:00,True,True,405478.30357748416,115815.90684775048,-1.923399623069814,50.94175922528353,10,0.00466150012976512,1.0208101331021362,0.5504142798606245,inf,163.213|16.609
70,2,2026-04-23 19:17:24.884583+01:00,2026-04-23 19:39:45.457479+01:00,True,True,405478.30357748416,115815.90684775048,-1.923399623069814,50.94175922528353,10,0.00466150012976512,1.0208101331021362,0.5504142798606245,inf,163.213|16.609
71,2,,,False,False,,,,,,,,,,
72,2,2026-04-24 19:03:50.082208+01:00,2026-04-24 19:11:15.058875+01:00,True,False,405405.4254085845,115592.43409516438,-1.9244401396685573,50.939750359918335,10,1.635715971589389,29.82619695094936,0.09389561043032416,3.748220732742582,171.783|346.396
73,2,,,False,False,,,,,,,,,,
74,2,2026-04-24 19:31:22.608229+01:00,2026-04-24 19:32:21.560563+01:00,True,False,405478.2048961017,115816.06303458253,-1.9234010252968354,50.9417606306834,10,2.2013661555514745,25.071955217007268,0.8079671382068496,1.173281906279143,188.044|314.147
75,2,2026-04-24 19:31:22.608229+01:00,2026-04-24 19:35:38.662792+01:00,True,False,405478.2185463218,115816.05795985762,-1.923400831088715,50.941760584922875,10,2.201266751384779,25.071049663778002,0.7672252172335499,1.1732189023789683,188.044|317.939
76,2,,,False,False,,,,,,,,,,
77,2,2026-04-25 07:32:46.807958+01:00,2026-04-25 07:34:07.390167+01:00,True,False,405405.4290424602,115592.41444446334,-1.924440088235409,50.93975018317956,10,5.643044379815181,65.15618844614616,1.2246467991473532e-16,inf,163.391|343.391
78,2,2026-04-25 07:24:34.052646+01:00,2026-04-25 07:32:46.807958+01:00,True,False,405833.9264586989,115702.91022660227,-1.9183398365937956,50.94073970567185,10,5.591231458873469,64.81811632299924,0.0031056206623353445,inf,163.391|343.569
79,2,,,False,False,,,,,,,,,,
80,2,,,False,False,,,,,,,,,,
81,3,2026-04-25 19:16:26.397292+01:00,2026-04-25 19:31:16.877896+01:00,True,True,405803.9994070808,115786.27041587216,-1.9187644754088429,50.94148960318201,110,0.00977823522139551,0.8073923136202338,0.4569695503470089,0.29834201739322697,121.293|94.101|64.842
82,3,,,False,False,,,,,,,,,,
83,3,2026-04-25 19:29:52.407208+01:00,2026-04-25 19:41:21.354875+01:00,True,False,405670.8245189674,115866.29220309836,-1.9206587146425107,50.9422104833154,000,2.774260742360232,21.008584488816037,0.23922756071445075,0.0012653366169765867,58.707|5.639|19.480
84,2,,,False,False,,,,,,,,,,
85,2,2026-04-26 07:01:56.187042+01:00,2026-04-26 07:03:08.119083+01:00,True,True,405405.41560272523,115592.44941136075,-1.9244402790063753,50.93975049773648,10,0.4747195236356541,12.584197794832274,0.4163493063512917,2.294873470108304,185.125|340.520
86,2,,,False,False,,,,,,,,,,
87,2,,,False,False,,,,,,,,,,
88,2,2026-04-26 18:44:37.329917+01:00,2026-04-26 19:02:18.886771+01:00,True,True,405670.74567328126,115866.19380813587,-1.9206598383604643,50.942209599276445,10,0.4746657665326239,15.243281569996745,0.32109355804156775,2.294940149405991,166.396|5.125
89,2,2026-04-26 19:34:56.619104+01:00,2026-04-26 19:36:00.938667+01:00,True,False,405833.91228594497,115702.93094780977,-1.918340037984075,50.94073989214416,10,4.743806185820526,53.24530495591209,0.5852767239534643,inf,202.218|346.396
90,2,2026-04-26 19:30:33.818479+01:00,2026-04-26 19:34:56.619104+01:00,True,False,405833.914158379,115702.93553075271,-1.9183400112624591,50.94073993333688,10,3.8471608320021478,46.41170196208445,0.5450723266233721,inf,202.218|349.189
91,2,,,False,False,,,,,,,,,,
